id,edad,genero,sentimiento_serguridad,satisfaccion,covid_positivo,covid_prueba,covid_sintomas,covid_conocido_sintomas,covid_contacto_sintomas,covid_prevencion,covid_tratar,covid_atencion_puesto_salud,covid_desempleo,covid_depresion,covid_conflictos,covid_internados,covid_muerte,covid_higiene,servicio_agua,servicio_desague,servicio_telefono,servicio_internet,servicio_electricidad,cal_servicio_agua,cal_servicio_telefono,cal_servicio_internet,cal_servicio_electricidad,cal_servicio_basura,cal_servicio_seguridad,cal_servicio_mant_parq,cal_servicio_desague,muni_recojo_basura,muni_man_parques,tiempo_comercial,tiempo_cultural,tiempo_escuela,tiempo_universidad,tiempo_salud,tiempo_aux_rap,tiempo_via_principal,tiempo_iglesia,vivienda_m2,vivienda_m2_precio,vivienda_vivir_anios,vivienda_cuartos,vivienda_pisos,vivienda_banos,valoracion_vivienda,gasto_alimentos,gasto_vestido,gasto_edu,gasto_salud,gasto_transpor,gasto_diversion,alr_calles_pavimentadas,alr_zonas_verdes,alr_parques_recreativas,alr_auxilio_rap,jefe_ocu,distrito,zona,hogar_ingresos_cuantos,ingreso_familiar,f_menor18,f_hombre,f_mujer,idiomas,lugar_n
713,24,0,1,3,0,0,0,1,0,50,0,0,0,0,0,0,0,3,1,1,1,1,1,3,3,3,2,2,2,2,3,1,0,0,0,0,0,0,45,0,0,250,100,3,3,3,2,25000,150,100,50,20,10,30,0,0,0,0,4,3, Saños grande,4,300,4,2,2,2,Yauli
714,25,0,1,4,0,0,0,0,0,150,0,0,0,0,0,0,0,4,1,1,0,0,1,4,4,2,3,3,3,3,4,1,1,15.5,0,15.5,15.5,0,0,0,0,170,900,1,2,0,0,50000,500,100,200,200,200,150,0,0,0,1,2,3, La esperanza,2,1200,2,1,1,1,Junin
714,25,0,1,4,0,0,0,0,0,150,0,0,0,0,0,0,0,4,1,1,0,0,1,4,4,2,3,3,3,3,4,1,1,0,5.5,0,0,0,5.5,0,0,170,900,1,2,0,0,50000,500,100,200,200,200,150,0,0,0,1,2,3, La esperanza,2,1200,2,1,1,1,Junin
714,25,0,1,4,0,0,0,0,0,150,0,0,0,0,0,0,0,4,1,1,0,0,1,4,4,2,3,3,3,3,4,1,1,0,0,0,0,25.5,0,25.5,25.5,170,900,1,2,0,0,50000,500,100,200,200,200,150,0,0,0,1,2,3, La esperanza,2,1200,2,1,1,1,Junin
715,26,0,0,10,0,1,0,1,0,350,0,0,0,0,0,0,0,5,1,1,0,1,1,4,3,3,3,3,3,3,4,1,1,5.5,5.5,5.5,0,5.5,5.5,5.5,0,190,640,5,3,1,1,20000,500,300,0,300,0,0,1,1,1,1,1,1, San carlos,2,2000,0,1,1,1,Junin
715,26,0,0,10,0,1,0,1,0,350,0,0,0,0,0,0,0,5,1,1,0,1,1,4,3,3,3,3,3,3,4,1,1,0,0,0,15.5,0,0,0,15.5,190,640,5,3,1,1,20000,500,300,0,300,0,0,1,1,1,1,1,1, San carlos,2,2000,0,1,1,1,Junin
716,42,0,0,4,0,1,0,0,0,100,0,0,0,0,0,1,0,5,1,1,0,0,1,3,3,2,2,2,2,2,3,1,1,25.5,25.5,25.5,25.5,25.5,25.5,0,0,180,500,5,5,1,0,40000,300,50,200,100,50,50,0,1,0,0,1,1, Palian,2,700,2,1,2,1,Tarma.
716,42,0,0,4,0,1,0,0,0,100,0,0,0,0,0,1,0,5,1,1,0,0,1,3,3,2,2,2,2,2,3,1,1,0,0,0,0,0,0,15.5,15.5,180,500,5,5,1,0,40000,300,50,200,100,50,50,0,1,0,0,1,1, Palian,2,700,2,1,2,1,Tarma.
717,30,0,1,6,0,1,0,1,0,300,0,0,1,1,1,0,0,4,1,1,1,1,1,3,4,3,5,2,2,1,3,1,0,15.5,0,15.5,0,0,15.5,15.5,15.5,300,400,3,5,1,1,120000,300,0,350,100,200,70,1,1,1,0,2,2, Auray,2,2100,0,1,2,1,Junin
717,30,0,1,6,0,1,0,1,0,300,0,0,1,1,1,0,0,4,1,1,1,1,1,3,4,3,5,2,2,1,3,1,0,0,0,0,0,0,0,0,0,300,400,3,5,1,1,120000,300,0,350,100,200,70,1,1,1,0,2,2, Auray,2,2100,0,1,2,1,Junin
717,30,0,1,6,0,1,0,1,0,300,0,0,1,1,1,0,0,4,1,1,1,1,1,3,4,3,5,2,2,1,3,1,0,0,0,0,90,0,0,0,0,300,400,3,5,1,1,120000,300,0,350,100,200,70,1,1,1,0,2,2, Auray,2,2100,0,1,2,1,Junin
717,30,0,1,6,0,1,0,1,0,300,0,0,1,1,1,0,0,4,1,1,1,1,1,3,4,3,5,2,2,1,3,1,0,0,0,0,0,45,0,0,0,300,400,3,5,1,1,120000,300,0,350,100,200,70,1,1,1,0,2,2, Auray,2,2100,0,1,2,1,Junin
718,63,0,0,5,0,1,1,1,1,300,100,0,0,1,1,1,0,3,1,1,0,0,1,1,1,1,3,4,3,5,2,1,1,25.5,25.5,0,0,0,25.5,0,0,200,400,5,2,0,0,20000,300,100,0,200,100,0,1,1,1,1,3,3, Tres esquinas,1,700,0,2,1,1,Huancayo
718,63,0,0,5,0,1,1,1,1,300,100,0,0,1,1,1,0,3,1,1,0,0,1,1,1,1,3,4,3,5,2,1,1,0,0,5.5,0,0,0,0,5.5,200,400,5,2,0,0,20000,300,100,0,200,100,0,1,1,1,1,3,3, Tres esquinas,1,700,0,2,1,1,Huancayo
